,comunidad_08,promedio_score,miembros,contaminados_iniciales,promedio_total_pago_f29,nulos_total_pago_f29,promedio_IVA_neto,nulos_IVA_neto,promedio_n_documentos,nulos_n_documentos,promedio_lifetime,nulos_lifetime,moda_unidad_regional,frecuencia_unidad_regional,comunidad,perct_emision_extra,perct_recepcion_extra,emision_extragrupo,recepcion_extragrupo,tasa_emision_extra_intra
0,1,0.05898407948552702,661713,7997,57894053.85055715,178177,-1360387549505.3606,0,1084.5218740359896,272713,3127.5800288571572,299931,SANTIAGO ORIENTE,661713,1.0,0.40947901702272804,0.34345089817722085,13094520778587.0,9878493899684.0,0.6934199271941675
1,2,0.03553998915999365,380323,461,21062148.058289483,104184,2366428999076.7295,0,3614.103376921134,277389,2558.7811095606985,276408,SANTIAGO SUR,380323,2.0,0.258582886118068,0.44381639372478293,2306182712429.0,5276448416911.0,0.3487684344972463
2,3,0.03549621059505174,132172,195,34075127.4876929,77935,-9026454.552749448,0,428.6212430334395,91980,4176.734424650939,111402,7MA UNIDAD REGIONAL MAULE,132172,3.0,0.6500294021845533,0.5704203099331597,1507114062611.0,1077447010147.0,1.8573828951406355
3,4,0.05232411621060656,126874,215,16809150.54790472,58530,-2286608.722882545,0,731.802948169282,95329,2716.9130699680745,85841,SANTIAGO CENTRO,126874,4.0,0.6127630918709354,0.5617762157745858,562530997191.0,455719914133.0,1.5823984723757363
4,5,0.04254947189752392,91763,84,3474079.966103649,74416,3005060.647581269,0,1214.2671262386903,87121,3333.55677404615,87386,SANTIAGO SUR,91763,5.0,0.44006722437334705,0.8157219962917087,21513986799.0,121173161157.0,0.7859286748857351
5,6,0.03132381398122443,84664,178,16251884.708877098,56772,-29710061.162961826,0,611.0258929485211,65122,3974.924091257936,70331,10MA UNIDAD REGIONAL LOS LAGOS,84664,6.0,0.6529775305327732,0.6812065034022832,562339304661.0,638597377465.0,1.881657782953565
6,7,0.04483376113278948,79145,1481,1316576.733867324,54800,-368081.6219975993,0,133.59584002705674,67318,1628.2127472527472,70045,SANTIAGO SUR,79145,7.0,0.5733368617145091,0.24649642791059168,39977276949.0,9732261777.0,1.3437693821369572
7,8,0.029528178957451717,72192,78,37030871.72016892,42592,147714597.4048094,0,1395.5030153741611,60419,6588.153998025667,35724,SANTIAGO ORIENTE,72192,8.0,0.6442622205949403,0.5874998636193103,577701774857.0,454312514529.0,1.8110593192334323
8,9,0.026913625097589673,64853,153,22748670.601154786,42338,-763580.2573666599,0,2467.8033022254126,56495,4351.0058768765275,47667,SANTIAGO ORIENTE,64853,9.0,0.7994734574954551,0.764826550127972,290984459122.0,237362592270.0,3.9868710022631286
9,10,0.031246980514955267,62340,168,22563739.030995157,29722,7115330.89202759,0,756.287839407178,44257,4769.778193283472,35064,SANTIAGO ORIENTE,62340,10.0,0.48454330715786054,0.5682584573434765,240826234065.0,337198355007.0,0.9400271912004328
10,11,0.03677914706695955,57654,69,11121855.528884908,50955,18428120.658115655,0,2437.9867674858224,56596,3371.63470993117,55620,SANTIAGO CENTRO,57654,11.0,0.9562925137509156,0.9913988439606383,79704446933.0,419893554189.0,21.87937572756086
11,12,0.02865521403571619,52071,59,5215889.315438726,43968,1426966.9522574947,0,2020.6150676868747,50372,4257.8044853364,50332,SANTIAGO ORIENTE,52071,12.0,0.7340973368956933,0.6713821797622953,19043895192.0,14093002216.0,2.7607746696682236
12,13,0.03867849545599733,51573,59,28882779.176755447,41661,-2444346.879103407,0,680.7972177635099,47835,3874.5561611374405,47353,SANTIAGO ORIENTE,51573,13.0,0.8371821771642436,0.7319104903162832,199441058819.0,105894813958.0,5.141833753720909
13,14,0.03301435815131947,50387,281,13527341.981767723,21921,-914908.5579018397,0,1304.0037122587032,38265,2970.0664940155384,21813,SANTIAGO ORIENTE,50387,14.0,0.8777766934434915,0.8319449814992437,223527531891.0,154079239588.0,7.181745594795063
14,15,0.024333007934568763,49746,38,6644478.52166444,44507,232056.50209062034,0,5747.904841402337,49147,4729.571428571428,48864,SANTIAGO ORIENTE,49746,15.0,0.7904251835376268,0.7776334513224225,28772911474.0,26678881256.0,3.771565672250218
15,16,0.022797653729826988,48134,48,19226044.60319553,29170,14008267.362654258,0,1261.3799946723495,40626,7799.976326248488,30773,8VA UNIDAD REGIONAL BIO BIO,48134,16.0,0.8077422183922328,0.9027425650807834,211516779728.0,467301396567.0,4.201349935682398
16,17,0.02682157626183231,46974,43,15230421.823857542,37652,-2312809.7282965044,0,6406.91027027027,45124,2836.0613478392265,43665,SANTIAGO SUR,46974,17.0,0.9683830580680324,0.955825433723699,197846026253.0,139767532826.0,30.628612348144575
17,18,0.03572214311096236,45983,85,18146065.433658104,29048,9106573.299545484,0,1301.3984533984535,38612,5728.818673218673,31738,SANTIAGO CENTRO,45983,18.0,0.5120019773865135,0.6728146590472992,102317288006.0,200538172049.0,1.0491886312253342
18,19,0.03717482147047358,38622,77,27590352.28486872,32033,513456370.03640413,0,2684.8810916179336,37083,4642.146054840515,35048,SANTIAGO ORIENTE,38622,19.0,0.8264574662871877,0.8839689604028238,67038174250.0,107243365988.0,4.7622761325754
