comunidad_0.8,promedio_score,miembros,contaminados_iniciales,promedio_total_pago_f29,nulos_total_pago_f29,promedio_IVA_neto,nulos_IVA_neto,promedio_n_documentos,nulos_n_documentos,promedio_lifetime,nulos_lifetime,moda_unidad_regional,frecuencia_unidad_regional
1,0.05898407948552702,661713,7997,57894053.85055715,178177,-1360387549505.361,0,1084.5218740359896,272713,3127.5800288571572,299931,SANTIAGO ORIENTE,69594
2,0.03553998915999365,380323,461,21062148.058289483,104184,2366428999076.7295,0,3614.103376921134,277389,2558.7811095606985,276408,SANTIAGO SUR,43156
3,0.03549621059505174,132172,195,34075127.4876929,77935,-9026454.552749448,0,428.6212430334395,91980,4176.734424650939,111402,7MA UNIDAD REGIONAL MAULE,23434
4,0.05232411621060656,126874,215,16809150.54790472,58530,-2286608.722882545,0,731.802948169282,95329,2716.9130699680745,85841,SANTIAGO CENTRO,12410
5,0.04254947189752392,91763,84,3474079.966103649,74416,3005060.647581269,0,1214.2671262386903,87121,3333.55677404615,87386,SANTIAGO SUR,14736
6,0.03132381398122443,84664,178,16251884.708877098,56772,-29710061.162961826,0,611.0258929485211,65122,3974.924091257936,70331,10MA UNIDAD REGIONAL LOS LAGOS,24071
7,0.04483376113278948,79145,1481,1316576.733867324,54800,-368081.6219975993,0,133.59584002705674,67318,1628.2127472527472,70045,SANTIAGO SUR,8698
8,0.029528178957451717,72192,78,37030871.72016892,42592,147714597.4048094,0,1395.5030153741611,60419,6588.153998025667,35724,SANTIAGO ORIENTE,16929
9,0.026913625097589673,64853,153,22748670.601154786,42338,-763580.2573666599,0,2467.8033022254126,56495,4351.0058768765275,47667,SANTIAGO ORIENTE,16782
10,0.031246980514955267,62340,168,22563739.030995157,29722,7115330.89202759,0,756.287839407178,44257,4769.778193283472,35064,SANTIAGO ORIENTE,11599
11,0.03677914706695955,57654,69,11121855.528884908,50955,18428120.658115655,0,2437.9867674858224,56596,3371.63470993117,55620,SANTIAGO CENTRO,6607
12,0.02865521403571619,52071,59,5215889.315438726,43968,1426966.9522574947,0,2020.6150676868747,50372,4257.8044853364,50332,SANTIAGO ORIENTE,6148
13,0.03867849545599733,51573,59,28882779.176755447,41661,-2444346.879103407,0,680.7972177635099,47835,3874.5561611374405,47353,SANTIAGO ORIENTE,17794
14,0.03301435815131947,50387,281,13527341.981767723,21921,-914908.5579018397,0,1304.0037122587032,38265,2970.0664940155384,21813,SANTIAGO ORIENTE,14861
15,0.024333007934568763,49746,38,6644478.52166444,44507,232056.50209062034,0,5747.904841402337,49147,4729.571428571428,48864,SANTIAGO ORIENTE,7789
16,0.022797653729826988,48134,48,19226044.60319553,29170,14008267.362654258,0,1261.3799946723495,40626,7799.976326248488,30773,8VA UNIDAD REGIONAL BIO BIO,7095
17,0.02682157626183231,46974,43,15230421.823857542,37652,-2312809.7282965044,0,6406.91027027027,45124,2836.0613478392265,43665,SANTIAGO SUR,6797
18,0.03572214311096236,45983,85,18146065.433658104,29048,9106573.299545484,0,1301.3984533984535,38612,5728.818673218673,31738,SANTIAGO CENTRO,5031
19,0.03717482147047358,38622,77,27590352.28486872,32033,513456370.03640413,0,2684.8810916179336,37083,4642.146054840515,35048,SANTIAGO ORIENTE,13837
20,0.024015460757654754,37825,20,8118344.65834039,30739,-8749107.930072702,0,284.163707493229,34502,3009.056627729812,33887,SANTIAGO ORIENTE,5938
21,0.06242456651557925,36759,28,10491185.483222548,17954,3591146.860850404,0,882.154980439362,33436,1888.4372628383505,28853,SANTIAGO SUR,4315
22,0.036895249156679,36064,11,11315829.967054475,17670,-4337413.457159494,0,853.5946984248943,28255,2878.78479056527,23769,SANTIAGO ORIENTE,5312
23,0.03918205933713994,36002,82,2998882.0932231965,30070,4059308184.7509584,0,1342.2523779327837,34425,4891.059907834101,33615,SANTIAGO SUR,7670
24,0.026884688899737885,30730,39,10006247.603617413,24206,-994784.0697038724,0,605.5383693045563,27394,3327.0785907859076,29254,SANTIAGO SUR,5277
25,0.031126199918721356,29947,120,24207905.87764719,12334,2026072.5689384579,0,1241.2524545900835,21799,3874.862285262206,12251,SANTIAGO ORIENTE,7778
26,0.03173039955231385,29437,122,3007762.456696716,17013,1337257.75109556,0,466.4488341968912,24805,3515.2448567229976,18549,SANTIAGO ORIENTE,5945
27,0.0361842126636248,29001,44,10080464.83206107,21010,234307.37912485778,0,822.0487904879049,24123,2451.7771626297576,24666,SANTIAGO SUR,4737
28,0.038268953734251314,28608,41,33411233.01357159,24187,7013238.759263143,0,1444.8291054739652,27110,5234.055475848876,26517,SANTIAGO SUR,3144
29,0.018275822598820827,28197,26,10372569.300081765,23305,1953547.273114161,0,331.40444893832154,26219,3081.994001713796,27030,8VA UNIDAD REGIONAL BIO BIO,6416
30,0.03807065992002437,27934,125,44107678.05511596,13274,-19818144.030285675,0,3286.063368839141,22395,4973.878948007775,11470,SANTIAGO SUR,5961
31,0.03214607363970107,27446,22,27592781.364380267,23291,-1473548.0412081906,0,848.1044247787611,25751,3600.556461731493,25852,8VA UNIDAD REGIONAL BIO BIO,3005
32,0.017863124414307294,27446,16,12224881.995311454,24460,-910753.4399183852,0,558.7009925558312,26640,3143.0175879396984,27048,SANTIAGO SUR,7585
33,0.031630313681269666,25853,78,22642294.462392934,18381,2040653.2842996945,0,1113.2605426610003,22794,5563.648909039388,22324,SANTIAGO ORIENTE,5269
34,0.02446687198016774,25793,25,24812453.98630137,23676,-857201.0490443143,0,2366.1803278688526,25488,4310.927756653992,25530,SANTIAGO ORIENTE,3423
35,0.03299928231669611,25184,16,1098858.8617801047,18499,476529.9820123888,0,2081.935563816605,24377,1775.689108910891,23164,SANTIAGO SUR,4157
36,0.025651920073433997,25107,11,6734422.536363636,19717,84452.18970804955,0,2252.5542168674697,24111,2027.8045602605864,23572,8VA UNIDAD REGIONAL BIO BIO,5067
37,0.028835146364370543,24995,34,35213633.47501622,21913,-4140664.031246249,0,834.9173228346457,24233,3867.0403645833335,24227,SANTIAGO ORIENTE,3551
38,0.07783583298812073,24578,58,27641166.500354107,18930,-5275367.158922614,0,572.2576383154418,22156,3983.0955631399315,21941,SANTIAGO SUR,3736
