RUT_SOCIEDAD,CAPITAL,UTILIDADES
A/WQ5uSmFn02r2PtNloHKA==,92.08,92.08
kqvmxZXKear6P8xAR3GXVg==,90.0,90.0
7/JzC/njmhl4xZ3D1Z/lcA==,94.0,94.0
rlW6862DnCcRvoVqtY7FHg==,90.0,90.0
BMt/K6rJfNz8NFp+8SYb+g==,90.0,90.0
qMyyheQ0Lxzn8qAXG/k6Yw==,90.0,90.0
67oIS+PEq0BZGA6Rz4jy4Q==,90.0,90.0
VqdDckh1KOKR6LSE9k9cKg==,90.0,90.0
KCbP4eWACuglK54vfuSoBg==,90.0,90.0
YvkkS5/WSyC8sElFPhdEng==,92.69999999999999,92.69999999999999
isAV0r/R6aYZLekZgr0mkw==,90.0,90.0
/IjHlrLW8nELASKlMOp0Uw==,92.5,92.5
qBN0Ew2XbPgKTj0PyLtzcA==,110.0,100.0
vINynBKYm7ID8fcIcXuhOw==,91.0,91.0
8kdy+gxO0aYQNuI+9BJRag==,90.0,90.0
r3BMVvWOgCsufJB9voKdpQ==,90.0,90.0
VTLtodv7+cvyoil3/KJtFw==,91.67,91.67
aXfemezSkb3f/cgi7iohTw==,93.10000000000001,93.10000000000001
+yO9yJXI/gw9x7dec0Lt+A==,105.7,124.99
jnefoaR6uUq1zcmbouTZzQ==,90.0,90.0
FXn1NMMA2JANP+RtQ4L4iw==,90.0,90.0
0XuN90P2eQMydmKE9OW64Q==,110.0,110.0
GHbUh58aurIlhiu/75DmCA==,90.0,100.0
KddHijKoifSW++ALJfo7yA==,90.0,90.0
W62rStOCYMtosUOwv5LBgA==,110.0,110.0
OLX2G7uibee2/050ckU80w==,91.9,91.9
zJLdRqdwJgz4dtWd9xh1Lg==,110.0,110.0
kEkg72n3A2sVOS+/qKUKUQ==,90.0,90.0
BqxrnNMQgfk9R8Nft8GOAg==,90.0,90.0
WfN5ivCtfpawg8YPYxAFDQ==,90.0,100.0
/04PWOBoAcv3v6kGG3uzeg==,93.63000000000001,100.0
qFPFCrtYXEFogbvSPrIXMA==,109.0,100.0
uHLFVzaBaAv3Wea645ct7Q==,90.44,86.99
Q+cmgqWboWCW6Wnvm0aBuw==,90.0,90.0
lCiVFlHJskvO+0kAAMmyyA==,93.19999999999999,93.19999999999999
8d//bUpKYdANb02dViawUw==,90.0,90.0
ktFVL0NWA14kabhQIzIZFQ==,90.0,100.0
ASr8C5lZV36rtVXOjXamoA==,91.0,91.0
izQetslqJhvh6MWm2q3dZg==,109.0,109.0
P3bRexTLy/4dE0zaZHognQ==,94.44,94.44
uoVyA5EK3wyHPPOwNA7uDg==,109.0,109.0
09RbNNExBtEoDmyUqFTOVg==,94.07999999999996,94.07999999999996
SQGKHbSikFL6ZT6ym6Pxuw==,90.0,90.0
pZZCopNrPfyGj8QKhpBAPw==,110.0,100.0
z4zxlx0KAgHGxl00tODwAw==,90.0,90.0
hnFoMRi2cRvKk1BUnTFHdQ==,91.0,91.0
45WPvkUKOoY30f1oyKTWfw==,90.0,90.0
6y5NPiVJou64uEa0QW7Nzw==,90.0,90.0
8KMoqv4KUCHlZLoKMvRsGg==,90.0,90.0
9CEtqUEtDv3isgbqcNoU/w==,94.52000000000002,94.52000000000002
TQKgsmOp0+QBrXVK4Nji9A==,108.89999999999993,108.89999999999993
VZjb6/vytGed6Kcs5wOEMQ==,92.0,92.0
dfPh9Cg2AjSRV9wlTxWkwg==,90.0,90.0
7D7OQdYY9VxggQrppPq2gg==,91.53,91.5
UO/UhVWOZ94ZjlapFvivTQ==,91.0,91.0
3YGRWhGN8PCVY389pPfXtg==,90.0,90.0
adheZND0RVn6RGwTJ1JMUQ==,90.0,90.0
5CmGwCluN5PLd2pqeAgVPw==,109.33000000000001,109.33000000000001
M4QWz5YHNtom1BTus3P18g==,94.1500000000004,94.1500000000004
SfjEy316QwQ496TuDr6HXA==,90.0,90.0
KdxwSSUJLochH6eIXWqb4A==,90.0,90.0
DJ0vfP2Sa27EZ/Ft7ezmjQ==,90.0,90.0
zW+WZa3oM0Sl6hZaj7fYJQ==,90.0,90.0
4pkvjUz1dwHFM1Gpoyge0g==,90.0,90.0
348+rxR9f1CsMoIivdjYnA==,109.0,109.0
S7hul8YcNmmB+CtGTkTm6w==,90.0,90.0
HjNHx8t4kXu+QoibxFFzEg==,90.0,90.0
iFWRDvyKlo0E/nW+JM/BXg==,90.0,90.0
kGkVbBKDq+lG1IUHA/gi6g==,90.0,90.0
wwed3izWfQuvgowpVyocDw==,90.0,90.0
lrHVUJKBURfjnavhEZ1QdQ==,93.0,93.0
GRv7/b+qcWlXimQv7P0vTg==,92.5,92.5
aM/bAT3949Xzuj2KHIo9yg==,90.0,90.0
yxHYy75ieRrw37RtVpiWmg==,109.0,100.0
rCSVlgV6rJ/Igk1PVL2pSQ==,91.0,91.0
XnOJs74xigtc2SWLzX3z5A==,90.0,90.0
K0sy51Mo/+0+8+mLAbdpTQ==,90.0,90.0
V1HJuy2VxsHU25HJ/JnCww==,90.0,90.0
iftVm3oBSqRX1gREObOhpg==,90.0,90.0
SUXqTz27aL/faNP/PaGgpQ==,91.0,91.0
fOv3JmCuIl20aBugK08lpA==,90.0,90.0
Xl6fub8aSptnCW73RAEzBA==,105.56,105.56
I/hZqpQLpv8pSyQucjWvmA==,91.63,91.63
FumtuELlI0520wHmywFYnA==,90.0,90.0
kKsVRWb31VzrVFjIHq7vdQ==,90.0,90.0
MZjnNBKFOEkav9sXVa8d+w==,90.0,90.0
9m3ZzTfHe2lK+t4PD/w2fQ==,91.5,91.5
rG/FhpV4NMPBCLOLZfMj+g==,94.16000000000001,94.16000000000001
pRzDvigz4wFDAr0OmdR52g==,94.0,94.0
ztQJlZT6G3d35PIOlcKQQA==,105.03000000000002,100.00000000000001
VGb8kp2Fg4jhx6BEMlCQsw==,91.0,91.0
Fa6GyAnBfaQQ7YYG3sxyog==,110.0,110.0
EFB2ddZeVDme8z+vGwNSzw==,90.0,90.0
+AY6pQdpZbFjp8ASkic8sg==,90.0,90.0
wzwF8CEYNnn6BS8bTkfTMA==,90.0,90.0
euIA4dgr4QydWUDFm4HJIg==,94.0,94.0
E8eu9RvVl2VKYJaE7fbUCw==,110.0,110.0
1bvtjioKebH6kxKhbK9gVQ==,90.0,90.0
xDmWdhxN4ccYebQUdZoguQ==,90.0,90.0
fzEhtXWubvc6HNTUkXLWYQ==,92.5,92.5
2PgSC6AljOEDfJ6i/ZFCdA==,92.27999999999999,92.27999999999999
gVfxHO23AYeI2NU5ImLlxw==,90.0,100.0
3oB6VqJu0WIpdU4uvgnfDA==,92.0,92.0
TVpxv977mmNuc9MFRSDrKw==,90.0,90.0
hVKcVc7nwrGX6zLVABXbFA==,90.0,90.0
eKySsCGNkV+yEG+LEe9OIQ==,90.0,90.0
GvDzudNCby+cFmxZunarGg==,90.0,90.0
4g8XTLTln+ekicityiViUg==,109.0,100.0
wt8ELzKMlP+nbtu1xZWujg==,92.0,92.0
4ULyStRYPrRuhmStvCeA3A==,90.0,90.0
g9QqJWDxBCHo0qv3C6OUdA==,90.0,90.0
6VLy+BglJXQ/XV0f1Smbjg==,90.0,90.0
VRCRk78lsO5weXzxaXeYhQ==,110.0,110.0
S8pe+DH9Lc8uuexP6p7TAw==,94.0,94.0
8M96UZ1O5STOA0G2VrZecw==,109.0,109.0
JRUQ2EEAJY9/nOwauA4PRw==,90.0,90.0
oFHE5ZdqYTw7woFUVBSESg==,91.0,91.0
dUNfMudn3UycjinckbQjvg==,90.0,90.0
FNB44Z5TKNqHF4TYxGZeiw==,110.0,100.0
3L0eR3jyQNKZsw88ubSjkA==,109.18,100.0
YuZBVc/f4gFpGxhzxZlZXQ==,106.63,106.63
h8o8KNJqrH7PWMjPVcayQA==,93.96999999999998,93.96999999999998
g0+u4elgivZeFM80F/l5qQ==,91.0,91.0
